sentence,language
"Jean Beauverie (Fontaines-sur-Saône, 18 febbraio 1874 – Lione, 22 febbraio 1938) è stato un botanico e micologo francese.",italian
"Il pinguino saltarocce (Eudyptes chrysocome (Forster, 1781)) è un uccello della famiglia Spheniscidae.",italian
"Maison Ikkoku - Cara dolce Kyoko (めぞん一刻 Mezon Ikkoku?) è un manga seinen, creato da Rumiko Takahashi e pubblicato in Giappone sul mensile Big Comic Spirits, edito dalla Shogakukan, dal novembre 1980 all'aprile 1987. È stato raccolto in 15 volumi tankōbon, trasposto nel 1986 in un anime di 96 episodi, poi in un film (Maison Ikkoku Last Movie), tre OAV e un live action. Nel maggio del 2007 è stato trasmesso in Giappone un live drama dell'opera, che ripercorre i primi episodi dell'anime. All'epoca della sua prima pubblicazione i 15 tankōbon del manga hanno venduto in Giappone oltre 10 milioni di copie.
La serie anime venne trasmessa in Italia con il titolo di Cara dolce Kyoko spezzata in due tronconi: il doppiaggio del 1993, relativo alla seconda parte della serie, è per questo motivo diverso da quello dei primi 52 episodi; di contro può contare su un adattamento relativamente migliore. La Yamato Video a partire dal 2006 commercializza i DVD della serie con sottotitoli fedeli all'originale con il titolo Maison Ikkoku - Cara dolce Kyoko.",italian
"La mia città è un singolo della cantante italiana Emma Marrone, estratto dall'album Schiena e presentato all'Eurovision Song Contest 2014 tenutosi a Copenaghen, in rappresentanza dell'Italia.",italian
"L'Armata Rossa dei Lavoratori e dei Contadini (in russo: Рабоче-крестьянская Красная армия?, Raboče-krest'janskaja Krasnaja armija in sigla RKKA), più comunemente Armata Rossa, fu il nome dato alle forze armate russe dopo la disintegrazione delle forze zariste nel 1917. L'aggettivo “rossa” fa riferimento al colore tradizionale del movimento socialista e comunista. L'Armata Rossa fu istituita su decreto del Consiglio dei commissari del popolo della RSFS Russa nel 1918 e divenne l'esercito dell'URSS al momento della fondazione dello Stato stesso, nel 1922. Lev Trockij, commissario del popolo per la guerra dal 1918 al 1924, ne è considerato il fondatore.
L'Armata Rossa, guidata direttamente da Stalin con la collaborazione di vari generali, svolse una funzione decisiva durante la seconda guerra mondiale sconfiggendo in quattro anni di violente e sanguinose battaglie la grande maggioranza delle forze della Wehrmacht della Germania nazista e concludendo vittoriosamente il conflitto con la conquista di Berlino e Vienna. Nel suo periodo di massima espansione d'organico, nel 1943, l'Armata Rossa contava 10,5 milioni di effettivi tra ufficiali, sottufficiali e soldati ed era equipaggiata con migliaia di carri armati e cannoni moderni; le perdite per raggiungere la vittoria furono elevatissime: 11,2 milioni di soldati morti per cause di guerra nel periodo 1941–1945.
Dopo la vittoria sul Terzo Reich, nel 1946 la denominazione Armata Rossa venne, almeno ufficialmente, modificata in Armata Sovietica (in russo: Советская Армия?, traslitterato: Sovetskaja Armija, in sigla SA).",italian
"Selezione dal Reader's Digest  è stata una rivista mensile fondata a Milano nel 1948, come versione italiana della rivista statunitense Reader's Digest.",italian
"La cultura Deverel-Rimbury è il nome dato a una cultura archeologica della media età del bronzo britannica, così chiamata dal nome di due siti di tumuli nel Dorset risalenti tra il 1600 e il 1100 a.C.
Essa è caratterizzata dai cosiddetti impropriamente campi celtici, recinti per rinchiudere il bestiame e la pratica delle sepolture con cremazione in cimiteri di campi di urne o sotto bassi tumuli rotondi. Alcune cremazioni di questo periodo erano anche inserite nei tumuli preesistenti. Veniva praticato l'allevamento.
Il vasellame in ceramica prodotto dalla cultura di Deverel-Rimbury comprendeva caratteristici vasi globulari con decorazione fatta a scannellature e linee graffiate insieme a tozze urne a secchio, abbastanza spesse, con decorazione cordonata e segni di impronte digitali sugli orli. La struttura veniva temperata con silice grossolana.
Il termine è adesso normalmente usato soltanto per riferirsi ai tipi di ceramica, poiché i moderni archeologi credono che Deverel-Rimbury non rappresenti una singola cultura, ma numerose società disparate che condividevano soltanto alcune tecnologie.",italian
"Matías Ezequiel Dituro (Bigand (Santa Fe), 8 maggio 1987) è un calciatore argentino, Portiere del Universidad Católica.",italian
"Tomorrow Never Knows è un brano musicale del gruppo musicale giapponese Mr. Children, pubblicato come loro sesto singolo il 10 novembre 1994, ed incluso nell'album Bolero. Il singolo ha raggiunto la prima posizione della classifica Oricon dei singoli più venduti in Giappone, vendendo 2.766.290 copie. Il brano è stato utilizzato come tema musicale del dorama televisivo Wakamono no Subete.",italian
"Berit Elisabeth Andersson (Stoccolma, 11 novembre 1935) è un'attrice svedese.",italian
